GRID: 10 10 3
FITNESS: 136.00
SURVIVORS: 7
7 9 1
6 1 0
2 7 1
0 3 0
5 5 1
4 7 2
0 0 2
OBSTACLES: 10
4 5 1
9 2 2
4 6 2
6 4 2
2 4 0
0 2 0
1 2 0
3 9 1
8 1 0
1 5 1
PATH: 100
0 7 2
0 5 1
1 6 1
2 6 1
2 7 1
2 6 1
1 7 2
3 7 0
2 7 1
1 7 0
2 8 1
2 7 0
2 7 1
4 7 0
2 7 1
2 8 1
1 8 1
2 8 1
2 9 1
3 8 1
2 7 1
2 7 1
2 6 1
2 4 1
0 4 1
2 4 1
2 6 1
3 6 1
2 5 1
2 6 1
2 6 2
2 7 2
2 7 1
2 7 1
3 8 1
2 6 0
2 7 1
3 7 1
2 7 1
3 7 1
1 7 1
3 7 2
4 8 1
4 7 2
5 8 2
5 7 2
7 9 1
8 9 1
7 9 1
8 9 1
6 9 1
7 9 2
7 9 1
7 8 1
7 9 1
8 9 1
8 9 2
8 8 2
7 7 2
7 9 2
7 9 1
8 8 1
7 9 1
8 9 1
7 9 1
5 9 2
5 9 1
6 9 1
5 9 0
6 9 1
7 9 1
8 9 1
7 9 1
8 9 1
7 9 1
8 9 1
8 7 2
7 9 2
7 8 1
7 9 0
6 9 0
7 9 0
7 9 1
8 9 1
7 9 1
7 9 1
7 9 2
7 9 1
8 9 1
8 9 0
7 9 0
7 9 1
7 9 0
6 9 0
7 8 2
7 8 0
7 9 1
8 9 1
7 9 1
9 9 1
